sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
71901;DHT22;59776;45.96285966;6.61502156;2025-06-01T00:00:09;15.90;99.90
27496;DHT22;14929;51.336;9.416;2025-06-01T00:00:09;16.05;85.30
5786;DHT22;2919;48.630;9.000;2025-06-01T00:00:09;16.40;99.90
89996;DHT22;81692;43.412;24.630;2025-06-01T00:00:09;16.55;75.88
79012;DHT22;79349;44.834;37.546;2025-06-01T00:00:09;16.59;81.54
3256;DHT22;1640;48.504;9.224;2025-06-01T00:00:09;17.10;99.90
82933;DHT22;72709;50.84243891;3.25319499;2025-06-01T00:00:09;17.10;99.90
77971;DHT22;73036;52.08551038;6.36974859;2025-06-01T00:00:09;17.40;99.90
4520;DHT22;2272;49.226;8.108;2025-06-01T00:00:09;17.50;99.90
82929;DHT22;72704;50.77968358;3.30088198;2025-06-01T00:00:09;17.70;60.90
12819;DHT22;6474;53.474;9.894;2025-06-01T00:00:09;17.70;76.90
4673;DHT22;61885;53.560;9.940;2025-06-01T00:00:09;17.70;95.40
28424;DHT22;15659;51.44344765;6.96718424;2025-06-01T00:00:09;17.70;99.90
10692;DHT22;5396;50.950;6.988;2025-06-01T00:00:09;17.80;99.90
35127;DHT22;21300;52.006;5.798;2025-06-01T00:00:09;18.20;99.90
54276;DHT22;40186;53.24773370;6.13723700;2025-06-01T00:00:09;18.40;99.90
27910;DHT22;15252;50.88344459;7.09019691;2025-06-01T00:00:09;18.70;99.90
5842;DHT22;2947;52.276;9.946;2025-06-01T00:00:09;18.80;1.00
93932;DHT22;86415;47.550;-2.364;2025-06-01T00:00:09;18.80;78.60
17208;DHT22;8720;48.488;9.202;2025-06-01T00:00:09;19.10;93.10
78970;DHT22;73015;44.73694400;37.78022200;2025-06-01T00:00:09;19.17;80.94
53657;DHT22;39560;53.12712440;6.40562610;2025-06-01T00:00:09;19.20;99.90
43073;DHT22;28694;50.91870696;4.10261571;2025-06-01T00:00:09;19.50;99.90
37072;DHT22;22986;49.22693755;8.63355730;2025-06-01T00:00:09;19.60;99.90
63041;DHT22;49128;50.95068695;6.95219842;2025-06-01T00:00:09;19.70;99.90
10030;DHT22;5055;52.054;8.524;2025-06-01T00:00:09;20.10;97.00
28244;DHT22;15510;52.512;13.300;2025-06-01T00:00:09;20.20;99.90
86002;DHT22;76581;51.988;5.854;2025-06-01T00:00:09;20.70;84.20
67139;DHT22;54057;52.02517540;5.55991888;2025-06-01T00:00:09;21.40;65.20
24338;DHT22;12457;50.832;4.346;2025-06-01T00:00:09;21.50;99.90
41876;DHT22;27555;50.808;4.402;2025-06-01T00:00:09;21.70;99.90
42037;DHT22;75222;52.004;5.908;2025-06-01T00:00:09;21.80;75.80
7234;DHT22;3658;47.992;10.158;2025-06-01T00:00:09;22.00;49.80
37406;DHT22;23273;53.05853420;8.76345884;2025-06-01T00:00:09;22.00;84.40
12111;DHT22;6119;52.372;8.990;2025-06-01T00:00:09;22.10;99.90
14519;DHT22;7346;50.846;4.388;2025-06-01T00:00:09;22.10;99.90
21582;DHT22;10952;50.836;4.348;2025-06-01T00:00:09;22.20;99.90
83654;DHT22;73614;50.76850592;3.39959800;2025-06-01T00:00:09;22.78;55.60
89509;DHT22;81137;47.508;19.066;2025-06-01T00:00:09;23.80;46.60
12329;DHT22;6230;52.390;10.256;2025-06-01T00:00:09;24.10;54.90
